Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC14P3216,Mei Lam Car Park ,美林停車場,美林停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3216.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3216.json
TDC14P3301,Tin Shui Car Park ,天瑞停車場,天瑞停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3301.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3301.json
TDC14P3303,Tin Wah Car Park ,天華停車場,天华停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3303.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3303.json
TDC14P3304,T Town South Car Park,T Town South 停車場,T Town South 停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3304.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3304.json
TDC14P3306,T Town North Car Park,T Town North 停車場,T Town North 停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3306.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3306.json
TDC14P3307,Tin Yuet Car Park,天悅停車場,天悦停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3307.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3307.json
TDC14P3309,Tin Chak Car Park A ,天澤A停車場,天泽A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3309.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3309.json
TDC14P3311,Tin Yat Car Park ,天逸停車場,天逸停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3311.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3311.json
TDC14P3431,Hong Pak Car Park ,康柏停車場,康柏停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3431.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3431.json
TDC14P3432,Hong Shui Car Park ,康瑞停車場,康瑞停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3432.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3432.json
TDC14P3433,Ko Chun Car Park ,高俊停車場,高俊停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3433.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3433.json
TDC14P3434,Ko Yee Car Park ,高怡停車場,高怡停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3434.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3434.json
TDC14P3435,Tak Tin Car Park A ,德田A停車場,德田A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3435.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3435.json
TDC14P3436,Tak Tin Car Park B,德田B停車場,德田B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3436.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3436.json
TDC14P3441,Kai Tin (New Wing) Car Park ,啟田新翼停車場,启田新翼停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3441.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3441.json
TDC14P3443,Ping Tin Phase 2 Car Park ,平田2期停車場,平田2期停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3443.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3443.json
TDC14P3444,Ping Tin Phase 4 Car Park ,平田4期停車場,平田4期停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3444.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3444.json
TDC14P3445,Hong Yat Car Park ,康逸停車場,康逸停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3445.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3445.json
TDC14P3512,Leung King Car Park ,良景停車場,良景停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3512.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3512.json
TDC14P3514,Tin King Car Park,田景停車場,田景停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3514.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3514.json
TDC14P3519,Kin Sang Car Park ,建生停車場,建生停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3519.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3519.json
TDC14P3520,Tai Hing - Car Park H,大興H停車場,大兴H停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3520.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3520.json
TDC14P3521,Tai Hing - Car Park D ,大興D停車場,大兴D停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3521.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3521.json
TDC14P3522,Tai Hing - Car Park C ,大興C停車場,大兴C停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3522.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3522.json
TDC14P3527,Fu Tai Car Park ,富泰停車場,富泰停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3527.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3527.json
TDC14P3554,Kai Tin (Old Wing) Car Park ,啟田舊翼停車場,启田旧翼停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p3554.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p3554.json
TDC14P4219,Yu Chui Car Park A,愉翠A停車場,愉翠A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4219.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4219.json
TDC14P4220,Yu Chui Car Park B,愉翠B停車場,愉翠B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4220.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4220.json
TDC14P4222,Kwong Yuen Car Park A ,廣源A停車場,广源A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4222.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4222.json
TDC14P4223,Lek Yuen Car Park ,瀝源停車場,沥源停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4223.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4223.json
TDC14P4225,Wo Che Car Park S ,禾輋S場停車場,禾輋S场停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4225.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4225.json
TDC14P4227,Wo Che Car Park F ,禾輋F場停車場,禾輋F场停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4227.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4227.json
TDC14P4235,Long Ping Car Park B ,朗屏B停車場,朗屏B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4235.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4235.json
TDC14P4237,Long Ping Car Park D,朗屏D停車場,朗屏D停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4237.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4237.json
